competition_id,competition_name,season_id,season_name,match_id,start_time,home_team_id,home_team_name,away_team_id,away_team_name,home_score,away_score
sr:competition:829,Extraliga,sr:season:108081,Extraliga 23/24,sr:sport_event:42356497,2023-09-08T17:00:00+00:00,sr:competitor:25902,Tatran Stresovice,sr:competitor:44610,FbS Bohemians Prague,3,4
sr:competition:318,Eliteserien,sr:season:108067,Eliteserien 23/24,sr:sport_event:42341691,2023-09-08T17:00:00+00:00,sr:competitor:4172,Sarpsborg SK,sr:competitor:4169,Nor 92 IBK,4,7
sr:competition:318,Eliteserien,sr:season:108067,Eliteserien 23/24,sr:sport_event:42341693,2023-09-09T12:30:00+00:00,sr:competitor:225494,Sandnes IBK,sr:competitor:610438,Vaalerenga IF,5,4
sr:competition:318,Eliteserien,sr:season:108067,Eliteserien 23/24,sr:sport_event:42341695,2023-09-09T13:00:00+00:00,sr:competitor:7996,Harstad IBK,sr:competitor:117616,IK Akerselva,5,4
sr:competition:318,Eliteserien,sr:season:108067,Eliteserien 23/24,sr:sport_event:42341697,2023-09-09T14:00:00+00:00,sr:competitor:4170,Sveiva IBK,sr:competitor:686273,Ull/Kisa,8,3
sr:competition:829,Extraliga,sr:season:108081,Extraliga 23/24,sr:sport_event:42356559,2023-09-10T12:00:00+00:00,sr:competitor:1033945,Buchis,sr:competitor:37852,1. SC Vitkovice Ostrava,3,12
sr:competition:313,Unihockey Prime League,sr:season:109891,Unihockey Prime League 23/24,sr:sport_event:43550615,2023-09-10T14:00:00+00:00,sr:competitor:7987,Floorball Koniz,sr:competitor:7989,HC Rychenberg Winterthur,2,5
sr:competition:313,Unihockey Prime League,sr:season:109891,Unihockey Prime League 23/24,sr:sport_event:43550617,2023-09-10T14:00:00+00:00,sr:competitor:40235,Zug United,sr:competitor:7991,Unihockey Tigers Langnau,10,3
sr:competition:318,Eliteserien,sr:season:108067,Eliteserien 23/24,sr:sport_event:42341699,2023-09-10T14:00:00+00:00,sr:competitor:4168,Tunet IBK,sr:competitor:7995,Gjellerasen Fighters,8,2
sr:competition:313,Unihockey Prime League,sr:season:109891,Unihockey Prime League 23/24,sr:sport_event:43550623,2023-09-10T15:00:00+00:00,sr:competitor:7992,UHC Alligator Malans,sr:competitor:7994,UHC Uster,5,2
sr:competition:313,Unihockey Prime League,sr:season:109891,Unihockey Prime League 23/24,sr:sport_event:43550621,2023-09-10T15:00:00+00:00,sr:competitor:557142,Unihockey Basel Regio,sr:competitor:22049,UHC Waldkirch-St. Gallen,2,6
sr:competition:313,Unihockey Prime League,sr:season:109891,Unihockey Prime League 23/24,sr:sport_event:43550619,2023-09-10T15:00:00+00:00,sr:competitor:7986,Chur Unihockey,sr:competitor:7990,SV Wiler-Ersigen,4,7
sr:competition:829,Extraliga,sr:season:108081,Extraliga 23/24,sr:sport_event:42356557,2023-09-10T15:00:00+00:00,sr:competitor:940129,FB Hurrican Karlovy Vary,sr:competitor:44608,FBC Ostrava,4,5
sr:competition:829,Extraliga,sr:season:108081,Extraliga 23/24,sr:sport_event:42356563,2023-09-10T15:00:00+00:00,sr:competitor:44604,Sparta Prague,sr:competitor:44614,Florbal Chodov,6,11
sr:competition:829,Extraliga,sr:season:108081,Extraliga 23/24,sr:sport_event:42356561,2023-09-10T16:00:00+00:00,sr:competitor:630970,Black Angels Prague,sr:competitor:44611,Sokoli Pardubice,3,5
sr:competition:829,Extraliga,sr:season:108081,Extraliga 23/24,sr:sport_event:42356501,2023-09-10T16:30:00+00:00,sr:competitor:44607,FBC Liberec,sr:competitor:173258,Sokol Kral Vinohrady,11,2
sr:competition:313,Unihockey Prime League,sr:season:109891,Unihockey Prime League 23/24,sr:sport_event:43550625,2023-09-10T17:00:00+00:00,sr:competitor:7988,Grasshopper Club Zurich,sr:competitor:146822,Floorball Thurgau,8,3
sr:competition:829,Extraliga,sr:season:108081,Extraliga 23/24,sr:sport_event:42356499,2023-09-12T08:00:00+00:00,sr:competitor:44609,Florbal Mlada Boleslav,sr:competitor:331853,FBC Ceska Lipa,15,3
sr:competition:829,Extraliga,sr:season:108081,Extraliga 23/24,sr:sport_event:42356575,2023-09-12T17:30:00+00:00,sr:competitor:173258,Sokol Kral Vinohrady,sr:competitor:25902,Tatran Stresovice,4,5
sr:competition:306,F-Liiga,sr:season:108077,F-Liiga 23/24,sr:sport_event:42343751,2023-09-15T15:30:00+00:00,sr:competitor:4158,Happee Jyvaskyla,sr:competitor:282983,LASB Lahti,4,5
