competition_id,season_id,season_name,team_id,team_name,official_rank,official_points,official_played,official_wins,official_losses,source_phase_text
sr:competition:255,sr:season:108389,Svenska Superligan 23/24,sr:competitor:4144,Storvreta IBK,1,60,26,,,svenska superligan regular season league
sr:competition:255,sr:season:108389,Svenska Superligan 23/24,sr:competitor:5745,IBF Falun,2,60,26,,,svenska superligan regular season league
sr:competition:255,sr:season:108389,Svenska Superligan 23/24,sr:competitor:4138,Pixbo Wallenstam,3,59,26,,,svenska superligan regular season league
sr:competition:255,sr:season:108389,Svenska Superligan 23/24,sr:competitor:34558,Vaxjo IBK,4,58,26,,,svenska superligan regular season league
sr:competition:255,sr:season:108389,Svenska Superligan 23/24,sr:competitor:118114,FBC Kalmarsund,5,44,26,,,svenska superligan regular season league
sr:competition:255,sr:season:108389,Svenska Superligan 23/24,sr:competitor:24122,Mullsjo AIS,6,43,26,,,svenska superligan regular season league
sr:competition:255,sr:season:108389,Svenska Superligan 23/24,sr:competitor:41254,Linkoping IBK,7,41,26,,,svenska superligan regular season league
sr:competition:255,sr:season:108389,Svenska Superligan 23/24,sr:competitor:4143,Jonkopings IK,8,36,26,,,svenska superligan regular season league
sr:competition:255,sr:season:108389,Svenska Superligan 23/24,sr:competitor:118116,Thorengruppen SK,9,30,26,,,svenska superligan regular season league
sr:competition:255,sr:season:108389,Svenska Superligan 23/24,sr:competitor:5744,FC Helsingborg,10,28,26,,,svenska superligan regular season league
sr:competition:255,sr:season:108389,Svenska Superligan 23/24,sr:competitor:610450,Nykvarns IBF Ungdom,11,27,26,,,svenska superligan regular season league
sr:competition:255,sr:season:108389,Svenska Superligan 23/24,sr:competitor:4142,AIK Innebandy,12,26,26,,,svenska superligan regular season league
sr:competition:255,sr:season:108389,Svenska Superligan 23/24,sr:competitor:4150,Karlstad IBF,13,25,26,,,svenska superligan regular season league
sr:competition:255,sr:season:108389,Svenska Superligan 23/24,sr:competitor:375152,Hagunda IF,14,9,26,,,svenska superligan regular season league
sr:competition:255,sr:season:121363,Svenska Superligan 24/25,sr:competitor:4144,Storvreta IBK,1,66,26,,,svenska superligan 24/25 regular season league
sr:competition:255,sr:season:121363,Svenska Superligan 24/25,sr:competitor:5745,IBF Falun,2,63,26,,,svenska superligan 24/25 regular season league
sr:competition:255,sr:season:121363,Svenska Superligan 24/25,sr:competitor:34558,Vaxjo IBK,3,63,26,,,svenska superligan 24/25 regular season league
sr:competition:255,sr:season:121363,Svenska Superligan 24/25,sr:competitor:4138,Pixbo Wallenstam,4,59,26,,,svenska superligan 24/25 regular season league
