competition_id,league,season,home_rank,away_rank,rank_diff,home_table_points,away_table_points,table_points_diff,home_played,away_played,home_goal_diff,away_goal_diff,goal_diff_diff,home_form_last5,away_form_last5,form_diff_last5,home_goals_for_avg_last5,home_goals_against_avg_last5,away_goals_for_avg_last5,away_goals_against_avg_last5,home_home_form_last5,away_away_form_last5,target_home_win
sr:competition:829,czech,Extraliga 23/24,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
sr:competition:829,czech,Extraliga 23/24,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
sr:competition:829,czech,Extraliga 23/24,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
sr:competition:829,czech,Extraliga 23/24,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
sr:competition:829,czech,Extraliga 23/24,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
sr:competition:829,czech,Extraliga 23/24,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
sr:competition:829,czech,Extraliga 23/24,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
sr:competition:829,czech,Extraliga 23/24,13,9,-4,0,0,0,1,1,-9,-1,-8,0.0,0.0,0.0,2.0,11.0,3.0,4.0,0.0,0.0,0
sr:competition:306,finland,F-Liiga 23/24,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
sr:competition:829,czech,Extraliga 23/24,14,4,-10,0,3,-3,1,1,-12,5,-17,0.0,3.0,-3.0,3.0,15.0,11.0,6.0,0.0,3.0,0
sr:competition:255,czech,Svenska Superligan 23/24,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
sr:competition:255,czech,Svenska Superligan 23/24,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
sr:competition:829,czech,Extraliga 23/24,5,11,6,3,0,3,1,1,2,-5,7,3.0,0.0,3.0,5.0,3.0,6.0,11.0,0.0,0.0,0
