competition_id,league,season,home_rank,away_rank,rank_diff,home_table_points,away_table_points,table_points_diff,home_played,away_played,home_goal_diff,away_goal_diff,goal_diff_diff,home_form_last5,away_form_last5,form_diff_last5,home_goals_for_avg_last5,home_goals_against_avg_last5,away_goals_for_avg_last5,away_goals_against_avg_last5,home_home_form_last5,away_away_form_last5,season_norm,roster_prev_season,home_roster_strength,away_roster_strength,roster_strength_diff,target_home_win
sr:competition:829,czech,Extraliga 23/24,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024,2022-2023,,197.8203076923077,,0
sr:competition:829,czech,Extraliga 23/24,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024,2022-2023,,197.77530769230768,,0
sr:competition:829,czech,Extraliga 23/24,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024,2022-2023,84.13671328671327,134.34259149546105,-50.20587820874778,0
sr:competition:829,czech,Extraliga 23/24,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024,2022-2023,139.26107692307693,172.93434065934065,-33.67326373626372,0
sr:competition:829,czech,Extraliga 23/24,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024,2022-2023,148.42176923076923,108.59916746411484,39.82260176665439,0
sr:competition:829,czech,Extraliga 23/24,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024,2022-2023,129.17692307692306,107.96294792164358,21.213975155279485,1
sr:competition:829,czech,Extraliga 23/24,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024,2022-2023,165.27208695652172,140.3943110367893,24.877775919732414,1
sr:competition:829,czech,Extraliga 23/24,13,9,-4,0,0,0,1,1,-9,-1,-8,0.0,0.0,0.0,2.0,11.0,3.0,4.0,0.0,0.0,2023-2024,2022-2023,107.96294792164358,,,0
sr:competition:306,finland,F-Liiga 23/24,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024,2022-2023,157.5568831168831,81.62211990595611,75.934763210927,0
sr:competition:829,czech,Extraliga 23/24,14,4,-10,0,3,-3,1,1,-12,5,-17,0.0,3.0,-3.0,3.0,15.0,11.0,6.0,0.0,3.0,2023-2024,2022-2023,140.3943110367893,172.93434065934065,-32.540029622551344,0
sr:competition:255,sweden,Svenska Superligan 23/24,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024,2022-2023,137.75830769230768,168.7760859140859,-31.01777822177823,0
sr:competition:255,sweden,Svenska Superligan 23/24,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024,2022-2023,137.90596655518394,155.30446153846154,-17.3984949832776,0
sr:competition:829,czech,Extraliga 23/24,5,11,6,3,0,3,1,1,2,-5,7,3.0,0.0,3.0,5.0,3.0,6.0,11.0,0.0,0.0,2023-2024,2022-2023,108.59916746411484,139.26107692307693,-30.661909458962086,0
sr:competition:306,finland,F-Liiga 23/24,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024,2022-2023,121.15511363636362,110.4778432601881,10.677270376175528,1
sr:competition:255,sweden,Svenska Superligan 23/24,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024,2022-2023,192.0868260869565,,,1
sr:competition:306,finland,F-Liiga 23/24,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024,2022-2023,123.75691699604742,125.07296851574212,-1.316051519694696,0
sr:competition:255,sweden,Svenska Superligan 23/24,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024,2022-2023,138.14572352285396,123.08384615384615,15.061877369007803,1
sr:competition:829,czech,Extraliga 23/24,3,11,8,3,0,3,1,1,9,-2,11,3.0,0.0,3.0,12.0,3.0,3.0,5.0,0.0,0.0,2023-2024,2022-2023,197.77530769230768,148.42176923076923,49.35353846153845,1
sr:competition:306,finland,F-Liiga 23/24,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024,2022-2023,109.79741935483872,169.30794721407625,-59.51052785923753,0
sr:competition:255,sweden,Svenska Superligan 23/24,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024,2022-2023,170.55676588628762,141.41000000000005,29.146765886287568,1
sr:competition:829,czech,Extraliga 23/24,3,4,1,3,3,0,1,1,12,9,3,3.0,3.0,0.0,15.0,3.0,11.0,2.0,3.0,0.0,2023-2024,2022-2023,165.27208695652172,129.17692307692306,36.09516387959866,1
sr:competition:306,finland,F-Liiga 23/24,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024,2022-2023,112.17115102639296,64.15576298701298,48.015388039379985,1
sr:competition:306,finland,F-Liiga 23/24,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024,2022-2023,38.00846394984326,34.95909090909091,3.04937304075235,1
sr:competition:255,sweden,Svenska Superligan 23/24,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024,2022-2023,,161.6590769230769,,1
sr:competition:829,czech,Extraliga 23/24,5,12,7,3,0,3,1,1,1,-9,10,3.0,0.0,3.0,5.0,4.0,3.0,12.0,0.0,0.0,2023-2024,2022-2023,134.34259149546105,,,1
sr:competition:255,sweden,Svenska Superligan 23/24,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024,2022-2023,169.12153846153848,136.64397993311036,32.47755852842812,1
