source,league,season,team_name,player_name,gp,goals,assists,points,shots,pim,plus_minus
extraliga,czech,2023-2024,Sokol Kral Vinohrady,Daniel Gärtner,25,14,14,28,57.0,,-21.0
extraliga,czech,2023-2024,Sokol Kral Vinohrady,Daniel Keller,25,19,7,26,60.0,,-11.0
extraliga,czech,2023-2024,Sokol Kral Vinohrady,Ivan Pergler,25,21,4,25,85.0,,-21.0
extraliga,czech,2023-2024,Sokol Kral Vinohrady,Tomáš Gärtner,24,14,7,21,59.0,,-33.0
extraliga,czech,2023-2024,Sokol Kral Vinohrady,Jan Procházka,26,5,14,19,40.0,,-10.0
extraliga,czech,2023-2024,Sokol Kral Vinohrady,Ondřej Plíhal,18,10,8,18,35.0,,4.0
extraliga,czech,2023-2024,Sokol Kral Vinohrady,Zbyněk Stuchlík,25,1,13,14,30.0,,-7.0
extraliga,czech,2023-2024,Sokol Kral Vinohrady,Pavel Hájek,24,4,8,12,25.0,,-9.0
extraliga,czech,2023-2024,Sokol Kral Vinohrady,Matěj Horák,25,2,10,12,20.0,,-25.0
extraliga,czech,2023-2024,Sokol Kral Vinohrady,Lukáš Trojáček,25,6,2,8,26.0,,-18.0
extraliga,czech,2023-2024,Sokol Kral Vinohrady,Jiří Procházka,25,1,5,6,18.0,,-6.0
extraliga,czech,2023-2024,Sokol Kral Vinohrady,Klāvs Araks,26,3,2,5,18.0,,-36.0
extraliga,czech,2023-2024,Sokol Kral Vinohrady,Vojtěch Krupička,17,3,2,5,11.0,,-5.0
extraliga,czech,2023-2024,Sokol Kral Vinohrady,Ondřej Pužman,25,3,2,5,19.0,,-28.0
extraliga,czech,2023-2024,Sokol Kral Vinohrady,František Urbánek,10,2,2,4,7.0,,-11.0
extraliga,czech,2023-2024,Sokol Kral Vinohrady,Antonín Pražák,23,1,2,3,16.0,,-31.0
extraliga,czech,2023-2024,Sokol Kral Vinohrady,Štěpán Švejda,9,2,0,2,8.0,,1.0
extraliga,czech,2023-2024,Sokol Kral Vinohrady,Jakub Žiška,19,1,0,1,7.0,,-18.0
extraliga,czech,2023-2024,Sokol Kral Vinohrady,Václav Bajko,6,0,1,1,4.0,,-5.0
extraliga,czech,2023-2024,Sokol Kral Vinohrady,Štěpán Čuda,16,0,1,1,9.0,,-9.0
extraliga,czech,2023-2024,Sokol Kral Vinohrady,Tomáš Petr Martan,12,0,0,0,2.0,,-11.0
extraliga,czech,2023-2024,Sokol Kral Vinohrady,Lukáš Mervart,15,0,0,0,7.0,,-9.0
extraliga,czech,2023-2024,Sokol Kral Vinohrady,Jan Pinkas,14,0,0,0,3.0,,-14.0
extraliga,czech,2023-2024,Sokol Kral Vinohrady,Jan Svoboda,1,0,0,0,1.0,,0.0
extraliga,czech,2023-2024,Sokol Kral Vinohrady,Matěj Víšek,2,0,0,0,0.0,,-1.0
extraliga,czech,2023-2024,Sparta Prague,Jiří Curney,26,37,41,78,104.0,,60.0
extraliga,czech,2023-2024,Sparta Prague,Mikuláš Krbec,22,28,30,58,66.0,,42.0
extraliga,czech,2023-2024,Sparta Prague,Robert Košir,26,36,18,54,99.0,,54.0
extraliga,czech,2023-2024,Sparta Prague,Marek Zouzal,26,14,21,35,46.0,,57.0
extraliga,czech,2023-2024,Sparta Prague,Martin Pražan,26,14,16,30,47.0,,50.0
extraliga,czech,2023-2024,Sparta Prague,Matěj Čermák,26,12,10,22,59.0,,4.0
extraliga,czech,2023-2024,Sparta Prague,Jan Peška,26,14,3,17,61.0,,-11.0
extraliga,czech,2023-2024,Sparta Prague,Matěj Pruner,24,9,8,17,24.0,,3.0
extraliga,czech,2023-2024,Sparta Prague,Josef Juha,26,10,4,14,49.0,,-3.0
extraliga,czech,2023-2024,Sparta Prague,Daniel Fišer,26,6,6,12,30.0,,6.0
extraliga,czech,2023-2024,Sparta Prague,Jan Marvánek,25,4,7,11,26.0,,-1.0
extraliga,czech,2023-2024,Sparta Prague,Michael Wertheim,26,3,5,8,30.0,,-9.0
extraliga,czech,2023-2024,Sparta Prague,Michal Kareš,24,2,3,5,7.0,,-6.0
extraliga,czech,2023-2024,Sparta Prague,Josef Sedláček,22,3,1,4,9.0,,-7.0
extraliga,czech,2023-2024,Sparta Prague,Jakub Šváb,14,2,2,4,5.0,,6.0
extraliga,czech,2023-2024,Sparta Prague,Jakub Bohuslávek,19,1,3,4,11.0,,-1.0
extraliga,czech,2023-2024,Sparta Prague,Adam Kos,14,0,3,3,2.0,,-6.0
extraliga,czech,2023-2024,Sparta Prague,Robin Havlina,5,1,1,2,1.0,,0.0
extraliga,czech,2023-2024,Sparta Prague,Lukáš Ujhelyi,22,0,2,2,10.0,,-5.0
extraliga,czech,2023-2024,Sparta Prague,Matyáš Bláha,2,0,0,0,0.0,,0.0
extraliga,czech,2023-2024,Sparta Prague,Jakub Mühlfait,4,0,0,0,0.0,,1.0
extraliga,czech,2023-2024,Sparta Prague,Michael Petráň,7,0,0,0,0.0,,-6.0
extraliga,czech,2023-2024,Tatran Stresovice,Marek Beneš,24,27,27,54,97.0,,55.0
extraliga,czech,2023-2024,Tatran Stresovice,Tomáš Hanák,25,25,29,54,70.0,,58.0
extraliga,czech,2023-2024,Tatran Stresovice,Matěj Havlas,25,30,22,52,79.0,,53.0
extraliga,czech,2023-2024,Tatran Stresovice,Martin Šindelář,23,22,14,36,88.0,,35.0
extraliga,czech,2023-2024,Tatran Stresovice,Jakub Boček,24,15,12,27,48.0,,28.0
