league,season,team_name,roster_player_count,team_total_points,team_total_goals,top3_points_sum,top5_points_sum,top3_goals_sum,top5_goals_sum,top3_points_share,top5_points_share,depth_10plus,depth_20plus,avg_top5_ppg,roster_strength,roster_strength_rank
czech,2023-2024,Florbal Mlada Boleslav,24,587.0,304.0,186.0,283.0,88.0,136.0,0.31686541737649065,0.48211243611584326,16,14,2.2141025641025642,237.2923076923077,1.0
czech,2023-2024,FbS Bohemians Prague,24,424.0,222.0,165.0,245.0,96.0,134.0,0.3891509433962264,0.5778301886792453,13,9,1.9648829431438126,197.74464882943144,2.0
czech,2023-2024,Sparta Prague,22,380.0,196.0,190.0,255.0,101.0,129.0,0.5,0.6710526315789473,11,6,2.0426573426573427,192.72797202797202,3.0
czech,2023-2024,Tatran Stresovice,26,415.0,218.0,160.0,223.0,82.0,119.0,0.3855421686746988,0.5373493975903615,15,7,1.8360434782608697,184.4081304347826,4.0
czech,2023-2024,Florbal Chodov,25,374.0,197.0,151.0,197.0,88.0,111.0,0.4037433155080214,0.5267379679144385,14,7,1.5298461538461539,169.38953846153845,5.0
czech,2023-2024,1. SC Vitkovice Ostrava,21,405.0,212.0,114.0,182.0,61.0,99.0,0.2814814814814815,0.44938271604938274,14,11,1.4217948717948719,166.6153846153846,6.0
czech,2023-2024,FBC Liberec,25,342.0,180.0,141.0,217.0,76.0,112.0,0.41228070175438597,0.6345029239766082,12,5,1.7084615384615387,165.07538461538462,7.0
czech,2023-2024,FBC Ceska Lipa,22,285.0,148.0,108.0,169.0,52.0,84.0,0.37894736842105264,0.5929824561403508,10,7,1.3101538461538464,138.28046153846154,8.0
czech,2023-2024,FB Hurrican Karlovy Vary,26,263.0,139.0,100.0,145.0,50.0,82.0,0.38022813688212925,0.5513307984790875,10,5,1.2710590858416944,121.86317725752508,9.0
czech,2023-2024,Black Angels Prague,33,238.0,124.0,83.0,129.0,43.0,68.0,0.3487394957983193,0.542016806722689,9,5,1.0688115942028986,108.1564347826087,10.0
czech,2023-2024,Buchis,24,232.0,121.0,98.0,127.0,43.0,63.0,0.4224137931034483,0.5474137931034483,10,3,1.0426889632107021,105.62806688963211,11.0
czech,2023-2024,Sokol Kral Vinohrady,25,216.0,112.0,79.0,119.0,54.0,73.0,0.36574074074074076,0.5509259259259259,9,4,0.9531538461538462,101.25946153846155,12.0
czech,2023-2024,FBC Ostrava,22,207.0,110.0,79.0,116.0,47.0,66.0,0.38164251207729466,0.5603864734299517,8,4,0.9266722408026755,97.08001672240802,13.0
czech,2023-2024,Sokoli Pardubice,24,188.0,100.0,72.0,98.0,40.0,56.0,0.3829787234042553,0.5212765957446809,9,3,0.79009324009324,86.4702797202797,14.0
czech,2024-2025,FbS Bohemians Prague,52,665.0,353.0,178.0,254.0,99.0,139.0,0.26766917293233083,0.3819548872180451,20,14,2.003010033444816,233.35903010033445,1.0
czech,2024-2025,Florbal Mlada Boleslav,22,518.0,268.0,185.0,273.0,97.0,143.0,0.35714285714285715,0.527027027027027,16,11,2.1503496503496504,225.45104895104896,2.0
czech,2024-2025,FBC Liberec,27,353.0,187.0,192.0,256.0,96.0,145.0,0.5439093484419264,0.7252124645892352,7,6,2.0570850202429147,187.92125506072875,3.0
czech,2024-2025,Tatran Stresovice,27,385.0,202.0,156.0,206.0,97.0,122.0,0.4051948051948052,0.535064935064935,13,6,1.780312270849355,170.94093681254805,4.0
czech,2024-2025,Florbal Chodov,27,306.0,164.0,138.0,188.0,88.0,100.0,0.45098039215686275,0.6143790849673203,10,5,1.6686956521739131,148.40608695652173,5.0
czech,2024-2025,FBC Ceska Lipa,25,279.0,147.0,131.0,186.0,78.0,106.0,0.46953405017921146,0.6666666666666666,8,5,1.4683333333333333,142.605,6.0
czech,2024-2025,Sparta Prague,23,327.0,172.0,117.0,174.0,62.0,90.0,0.3577981651376147,0.5321100917431193,12,5,1.460151920543225,141.18045576162967,7.0
czech,2024-2025,1. SC Vitkovice Ostrava,24,318.0,166.0,105.0,161.0,58.0,80.0,0.330188679245283,0.5062893081761006,12,7,1.355982905982906,138.41794871794872,8.0
czech,2024-2025,FBC Kladno,25,211.0,114.0,84.0,120.0,41.0,60.0,0.3981042654028436,0.5687203791469194,10,4,0.923076923076923,102.56923076923077,9.0
czech,2024-2025,FBC Ostrava,25,220.0,119.0,88.0,124.0,45.0,66.0,0.4,0.5636363636363636,8,3,0.9955128205128204,98.88653846153846,10.0
czech,2024-2025,Sokol Kral Vinohrady,27,204.0,109.0,66.0,98.0,44.0,57.0,0.3235294117647059,0.4803921568627451,9,2,0.810871794871795,82.48261538461537,11.0
czech,2024-2025,Sokoli Pardubice,30,200.0,110.0,63.0,91.0,37.0,48.0,0.315,0.455,10,2,0.8446795248992046,80.18403857469761,12.0
czech,2024-2025,Bulldogs Brno,36,184.0,97.0,58.0,87.0,36.0,52.0,0.31521739130434784,0.47282608695652173,7,1,0.7072097902097901,68.97162937062936,13.0
czech,2025-2026,FbS Bohemians Prague,27,538.0,281.0,213.0,314.0,128.0,176.0,0.395910780669145,0.5836431226765799,13,10,2.636706213694772,242.81011864108433,1.0
czech,2025-2026,Florbal Mlada Boleslav,23,600.0,312.0,200.0,277.0,115.0,152.0,0.3333333333333333,0.46166666666666667,18,13,2.289913955609608,241.61974186682883,2.0
czech,2025-2026,Tatran Stresovice,25,413.0,215.0,147.0,219.0,79.0,113.0,0.3559322033898305,0.5302663438256658,15,8,1.795062271062271,182.3851868131868,3.0
czech,2025-2026,Sparta Prague,23,378.0,194.0,127.0,176.0,73.0,107.0,0.335978835978836,0.4656084656084656,16,9,1.4404403567447044,166.3713210702341,4.0
czech,2025-2026,Florbal Chodov,29,295.0,155.0,128.0,172.0,80.0,101.0,0.43389830508474575,0.5830508474576271,9,7,1.5128445084327438,144.48853352529824,5.0
czech,2025-2026,FBC Liberec,23,276.0,144.0,107.0,170.0,57.0,92.0,0.38768115942028986,0.6159420289855072,11,6,1.5326666666666668,139.298,6.0
czech,2025-2026,FBC Ceska Lipa,24,241.0,130.0,116.0,166.0,71.0,97.0,0.48132780082987553,0.6887966804979253,7,5,1.3145897435897436,128.79376923076921,7.0
