competition_id,competition_name,league,season_id,season_name,season,match_id,start_time,home_team_id,home_team_name,away_team_id,away_team_name,home_score,away_score
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:42356497,2023-09-08T17:00:00+00:00,sr:competitor:25902,Tatran Stresovice,sr:competitor:44610,FbS Bohemians Prague,3,4
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:42356559,2023-09-10T12:00:00+00:00,sr:competitor:1033945,Buchis,sr:competitor:37852,1. SC Vitkovice Ostrava,3,12
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:42356557,2023-09-10T15:00:00+00:00,sr:competitor:940129,FB Hurrican Karlovy Vary,sr:competitor:44608,FBC Ostrava,4,5
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:42356563,2023-09-10T15:00:00+00:00,sr:competitor:44604,Sparta Prague,sr:competitor:44614,Florbal Chodov,6,11
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:42356561,2023-09-10T16:00:00+00:00,sr:competitor:630970,Black Angels Prague,sr:competitor:44611,Sokoli Pardubice,3,5
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:42356501,2023-09-10T16:30:00+00:00,sr:competitor:44607,FBC Liberec,sr:competitor:173258,Sokol Kral Vinohrady,11,2
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:42356499,2023-09-12T08:00:00+00:00,sr:competitor:44609,Florbal Mlada Boleslav,sr:competitor:331853,FBC Ceska Lipa,15,3
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:42356575,2023-09-12T17:30:00+00:00,sr:competitor:173258,Sokol Kral Vinohrady,sr:competitor:25902,Tatran Stresovice,4,5
sr:competition:306,F-Liiga,finland,sr:season:108077,F-Liiga 23/24,F-Liiga 23/24,sr:sport_event:42343751,2023-09-15T15:30:00+00:00,sr:competitor:4158,Happee Jyvaskyla,sr:competitor:282983,LASB Lahti,4,5
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:42356565,2023-09-15T17:00:00+00:00,sr:competitor:331853,FBC Ceska Lipa,sr:competitor:44614,Florbal Chodov,7,10
sr:competition:255,Svenska Superligan,czech,sr:season:108389,Svenska Superligan 23/24,Svenska Superligan 23/24,sr:sport_event:42451629,2023-09-15T17:00:00+00:00,sr:competitor:4143,Jonkopings IK,sr:competitor:4138,Pixbo Wallenstam,5,8
sr:competition:255,Svenska Superligan,czech,sr:season:108389,Svenska Superligan 23/24,Svenska Superligan 23/24,sr:sport_event:42451631,2023-09-15T17:00:00+00:00,sr:competitor:4142,AIK Innebandy,sr:competitor:41254,Linkoping IBK,2,6
