source,league,season,team_name,player_name,gp,goals,assists,points,shots,pim,plus_minus
extraliga,czech,2022/2023,FBC Liberec,Šimon Stránský,26,32,33,65,107,,12
extraliga,czech,2022/2023,FBC Liberec,Prokop Ferdan,24,13,23,36,43,,-2
extraliga,czech,2022/2023,FBC Liberec,Vojtěch Wiener,13,16,8,24,30,,11
extraliga,czech,2022/2023,FBC Liberec,Filip Smutný,23,12,11,23,41,,-21
extraliga,czech,2022/2023,FBC Liberec,Jakub Kárník,26,9,7,16,29,,-7
extraliga,czech,2022/2023,FBC Liberec,Radek Valeš,19,7,9,16,25,,-23
extraliga,czech,2022/2023,FBC Liberec,Jakub Mádlo,24,10,4,14,37,,-7
extraliga,czech,2022/2023,FBC Liberec,Vojtěch Janeček,23,6,4,10,23,,-12
extraliga,czech,2022/2023,FBC Liberec,Jan Světlík,26,6,4,10,26,,-21
extraliga,czech,2022/2023,FBC Liberec,Tomáš Dlesk,24,4,5,9,15,,-27
extraliga,czech,2022/2023,FBC Liberec,Jakub Pařízek,22,5,2,7,21,,-11
extraliga,czech,2022/2023,FBC Liberec,Lukáš Macháč,20,4,2,6,16,,-32
extraliga,czech,2022/2023,FBC Liberec,Michal Václavík,21,4,2,6,11,,0
extraliga,czech,2022/2023,FBC Liberec,Jakub Faksa,12,1,5,6,11,,-8
extraliga,czech,2022/2023,FBC Liberec,Adam Balatka,13,4,0,4,21,,-17
extraliga,czech,2022/2023,FBC Liberec,Jan Baudisch,24,2,2,4,14,,-18
extraliga,czech,2022/2023,FBC Liberec,Jan Bitman,22,1,3,4,7,,-5
extraliga,czech,2022/2023,FBC Liberec,Jan Šoltys,26,1,2,3,15,,-22
extraliga,czech,2022/2023,FBC Liberec,Jakub Kopecký,4,1,1,2,4,,-5
extraliga,czech,2022/2023,FBC Liberec,Vladimír Trčka,6,1,0,1,2,,-12
extraliga,czech,2022/2023,FBC Liberec,Daniel Martínek,2,0,1,1,0,,0
extraliga,czech,2022/2023,FBC Liberec,Daniel Sedláček,7,0,1,1,4,,-8
extraliga,czech,2022/2023,FBC Liberec,Lukáš Dolejš,9,0,0,0,0,,-5
extraliga,czech,2022/2023,FBC Liberec,Jakub Horník,4,0,0,0,1,,0
extraliga,czech,2022/2023,FBC Liberec,Petr Kukla,7,0,0,0,1,,-8
extraliga,czech,2022/2023,TJ Sokol Královské Vinohrady,Vojtěch Klápa,24,26,10,36,106,,-12
extraliga,czech,2022/2023,TJ Sokol Královské Vinohrady,Ondřej Plíhal,24,14,14,28,77,,4
extraliga,czech,2022/2023,TJ Sokol Královské Vinohrady,Ivan Pergler,26,17,8,25,81,,-5
extraliga,czech,2022/2023,TJ Sokol Královské Vinohrady,Tomáš Gärtner,23,10,10,20,35,,-8
extraliga,czech,2022/2023,TJ Sokol Královské Vinohrady,Ondřej Stuchlík,21,3,15,18,18,,8
extraliga,czech,2022/2023,TJ Sokol Královské Vinohrady,Petr Hartman,25,4,13,17,18,,-9
