source,league,season,team_name,player_name,gp,goals,assists,points,shots,pim,plus_minus
ssl,sweden,2024/2025,IBF Falun,Malte Lundmark,24,43,28,71,,4,
ssl,sweden,2024/2025,Pixbo IBK,Oskar Weissbach,25,24,39,63,,6,
ssl,sweden,2024/2025,Pixbo IBK,Felix Lanver,26,37,23,60,,12,
ssl,sweden,2024/2025,Växjö Vipers,Jesper Sankell,23,26,34,60,,8,
ssl,sweden,2024/2025,Storvreta IBK,Filip Eriksson,25,23,35,58,,0,
ssl,sweden,2024/2025,FC Helsingborg,Christoffer Andersson,26,21,30,51,,0,
ssl,sweden,2024/2025,Team Thorengruppen SK,Axel Hjälm,26,33,17,50,,4,
ssl,sweden,2024/2025,Storvreta IBK,Gabriel Kohonen,19,19,30,49,,4,
ssl,sweden,2024/2025,Jönköpings IK,Anton Svanberg,26,28,20,48,,8,
ssl,sweden,2024/2025,Mullsjö AIS,Pelle Tarenius,26,35,12,47,,4,
ssl,sweden,2024/2025,Storvreta IBK,Sakarias Ulriksson,26,31,16,47,,10,
ssl,sweden,2024/2025,IBK Dalen,Alexander Hedlund,25,23,24,47,,6,
ssl,sweden,2024/2025,IBF Falun,Emil Ruud,26,23,22,45,,8,
ssl,sweden,2024/2025,Växjö Vipers,Jonathan Nilsson,24,29,14,43,,6,
ssl,sweden,2024/2025,IBF Falun,Alexander Galante Carlström,26,28,15,43,,2,
ssl,sweden,2024/2025,Mullsjö AIS,Martin Rönnklint,26,24,18,42,,8,
ssl,sweden,2024/2025,Team Thorengruppen SK,Hampus Öhgren,26,22,20,42,,2,
ssl,sweden,2024/2025,Pixbo IBK,Arvid Äse,26,32,9,41,,8,
ssl,sweden,2024/2025,Jönköpings IK,Oscar Rohlin,26,30,11,41,,2,
ssl,sweden,2024/2025,FC Helsingborg,Isac Olsson Ferm,26,28,13,41,,2,
ssl,sweden,2024/2025,Nykvarns IBF,Hampus Ahren,26,15,26,41,,6,
ssl,sweden,2024/2025,Mullsjö AIS,Oskar Liberg,26,25,15,40,,2,
ssl,sweden,2024/2025,FBC Kalmarsund,Linus Malmström,25,19,21,40,,6,
ssl,sweden,2024/2025,FBC Kalmarsund,Victor Wettergren,26,18,22,40,,8,
